Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Price / International,Compare-at price,Compare-at price / International,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Tumbleweed Beard Oil,tumbleweed-beard-oil,"<h3>Description</h3><p>Tumbleweed Beard Oil is our unscented variety. If you don't care for added scents or if you wear a cologne this will fit your bill. Has all of the moisturizing, health-adding benefits as our other blends. There is a <em>slight</em> earthy aroma that comes from the natural oils if you have a dog-like sense of smell.</p>

<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>none</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Oils,Beard Oils,"All Products,Beard Care,Beard Oil & Balm,Beard Oils,Scents,Tumbleweed,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,oil-tw,,Title,Default,,,,,15.99,,,,0.00,true,,shopify,0,deny,6,g,true,manual,/Shared/Images/Product/Tumbleweed-Beard-Oil/beard-oil-tumbleweed-dropper.jpg,1,Tumbleweed Beard Oil,,false,Tumbleweed Beard Oil,All Natural Man Made Beard Oil with a subtle natural scent,,,,oil-tw,,,new,,,,,,
Clove Citrus Beard Oil,clove-citrus-beard-oil,"<h3>Description</h3><p>

Make your beard magestic! Texas Beard Company <strong>Beard Oil</strong> is a carefully hand-mixed blend of <strong>All Natural</strong> oils mixed with a subtle amount of essential oils to make your beard smell as good as it looks.</p><p>

Extensive testing on bearded Texas men NOT animals (although they have been called worse) has resulted in the perfect blend of scents.</p><p>

The Clove Citrus blend features classic Clove scent mixed with Orange, Tangerine, and Grapefruit essential oils.</p><p>

So step up your facial hair game and turn that scraggle and scruff into something great.</p>



<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado&nbsp;Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul><li>Clove Oil</li><li>Orange Oil</li><li>Tangerine Oil</li><li>Grapefruit Oil</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Oils,Beard Oils,"All Products,Beard Care,Beard Oil & Balm,Beard Oils,Scents,Clove Citrus,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,oil-cz,,Title,Default,,,,,15.99,,,,0.00,true,,shopify,0,deny,6,g,true,manual,/Shared/Images/Product/Clove-Citrus-Beard-Oil/beard-oil-clove-citrus-dropper.jpg,1,Clove Citrus Beard Oil,,false,Clove Citrus Beard Oil,"

Make your beard magestic! Texas Beard Company Beard Oil is a carefully hand-mixed blend of All Natural oils mixed with a subtle amount of essential oils to make your beard smell as good as it looks.

Extensive testing on bearded Texas men NOT animals (although they have bee",,,,oil-cz,,,new,,,,,,
Mint Eucalyptus Beard Oil,mint-eucalyptus-beard-oil,"<h3>Description</h3><p>Mint Eucalyptus Beard Oil is a refreshing blend that really opens up your sinuses. Imagine going all day without cleaning out the toothpaste from your beard. That's Mint Eucalyptus.

</p>

<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>Peppermint Oil</li><li>Eucalyptus Oil</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Oils,Beard Oils,"All Products,Beard Care,Beard Oil & Balm,Beard Oils,Scents,Mint Eucalyptus,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,oil-pep,,Title,Default,,,,,15.99,,,,0.00,true,,shopify,0,deny,6,g,true,manual,/Shared/Images/Product/Mint-Eucalyptus-Beard-Oil/beard-oil-mint-eucalyptus-dropper.jpg,1,Mint Eucalyptus Beard Oil,,false,Mint Eucalyptus Beard Oil,"Mint Eucalyptus Beard Oil is a refreshing blend that really opens up your sinuses. Imagine going all day without cleaning out the toothpaste from your beard. That's Mint Eucalyptus.





This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

",,,,oil-pep,,,new,,,,,,
Tumbleweed Beard Balm,tumbleweed-beard-balm,"<h3>Description</h3><p>Tumbleweed Beard Balm is for the beardsman that loves a nose full of the natural. &nbsp;Tumbleweed is only made with our base ingredients and has no added essential (scent) oils. This is a great choice if you wear cologne and don't want conflicting scents.</p><p>Texas Beard Company Beard Balm is has similar properties and benefits to our <a href=""https://www.texasbeardcompany.com/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p><p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p><p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p><p>Comes in a 2oz tin.</p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Balm Blend</p><ul>
<li>Cocoa Butter</li><li>Shea Butter</li><li>Coconut Oil</li><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>
<li>none</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Balms,Beard Balms,"All Products,Beard Care,Beard Oil & Balm,Beard Balms,Scents,Tumbleweed,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,balm-tw,,Title,Default,,,,,19.99,,,,0.00,true,,shopify,0,deny,6,g,true,manual,/Shared/Images/Product/Tumbleweed-Beard-Balm/beard-balm-tumbleweed.jpg,1,Tumbleweed Beard Balm,,false,Tumbleweed Beard Balm,Tumbleweed Beard Balm is for the beardsman that loves a nose full of the natural. &nbsp;Tumbleweed is only made with our base ingredients and has no added essential (scent) oils. This is a great choice if you wear cologne and don't want conflicting scents.Texas Beard Company Beard Balm is has similar properti,,,,balm-tw,,,new,,,,,,
Clove Citrus Beard Balm,clove-citrus-beard-balm,"<h3>Description</h3><p>Texas Beard Company Beard Balm is has similar properties and benefits to our <a href=""https://www.texasbeardcompany.com/beard-oil"" style=""font-size: 1em;"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p><p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p><p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p><p>Comes in a 2oz tin.</p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Balm Blend</p><ul>
<li>Cocoa Butter</li><li>Shea Butter</li><li>Coconut Oil</li><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>
<li>Clove Oil</li><li>Orange Oil</li><li>Tangerine Oil</li><li>Grapefruit Oil</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Balms,Beard Balms,"All Products,Beard Care,Beard Oil & Balm,Beard Balms,Scents,Clove Citrus,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,balm-cz,,Title,Default,,,,,19.99,,,,0.00,true,,shopify,0,deny,6,g,true,manual,/Shared/Images/Product/Clove-Citrus-Beard-Balm/beard-balm-clove-citrus.jpg,1,Clove Citrus Beard Balm,,false,Clove Citrus Beard Balm,"Texas Beard Company Beard Balm is has similar properties and benefits to our all natural beard oils. It will help keep your hair healthy, strong, and manageable.In addition to oils we blend in naturally deodorized Shea Butter, C",,,,balm-cz,,,new,,,,,,
Mint Eucalyptus Beard Balm,mint-eucalyptus-beard-balm,"<h3>Description</h3><p>Texas Beard Company Beard Balm is has similar properties and benefits to our&nbsp;<a href=""/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p><p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p><p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p><p>Comes in a 2oz tin.</p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Balm Blend</p><ul><li>Cocoa Butter</li><li>Shea Butter</li><li>Coconut Oil</li><li>Golden Jojoba Oil</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul><li>Peppermint Oil</li><li>Eucalyptus Oil</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Balms,Beard Balms,"All Products,Beard Care,Beard Oil & Balm,Beard Balms,Scents,Mint Eucalyptus,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,balm-pep,,Title,Default,,,,,19.99,,,,0.00,true,,shopify,0,deny,6,g,true,manual,/Shared/Images/Product/Mint-Eucalyptus-Beard-Balm/beard-balm-mint-eucalyptus.jpg,1,Mint Eucalyptus Beard Balm,,false,Mint Eucalyptus Beard Balm,"Texas Beard Company Beard Balm is has similar properties and benefits to our&nbsp;all natural beard oils. It will help keep your hair healthy, strong, and manageable.In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodo",,,,balm-pep,,,new,,,,,,
Big Thicket Beard Oil,big-thicket-beard-oil,"<h3>Description</h3><p>

	This Big Thicket Beard Oil from Texas Beard Company will have your beard tamed and smelling like you just came home from a day of choppin wood.

</p>

<p>

	Big Thicket is scented with a subtle blend of Cedarwood and Pine Needle essential oils to smell just like the famous Texas forest.

</p>

<p>

This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.

</p>



<blockquote>Texas Beard Company's Big Thicket Beard Oil, with its Cedarwood & Pine Needles scent makes me feel like I'm back adventuring in the deep Texas woods.<br>

	<cite><em>Chris Brown / Publisher Refueled Magazine</em></cite>

</blockquote><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>Cedarwood</li><li>Pine Needle</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Oils,Beard Oils,"All Products,Beard Care,Beard Oil & Balm,Beard Oils,Scents,Big Thicket,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,oil-bt,,Title,Default,,,,,15.99,,,,0.00,true,,shopify,0,deny,6,g,true,manual,/Shared/Images/Product/Big-Thicket-Beard-Oil/beard-oil-big-thicket-dropper.jpg,1,Big Thicket Beard Oil,,false,Big Thicket Beard Oil,All Natural Man Made Beard Oil with a Cedarwood and Pine needle scent,,,,oil-bt,,,new,,,,,,
Tumbleweed Beard Oil - 3oz Bottle,tumbleweed-beard-oil-3oz-bottle,"<h3>Description</h3><p></p><p>Tumbleweed Beard Oil is our unscented variety. If you don't care for added scents or if you wear a cologne this will fit your bill. Has all of the moisturizing, health-adding benefits as our other blends. There is a <em>slight</em> earthy aroma that comes from the natural oils if you have a dog-like sense of smell.</p>
<p>This is our large size, 3 fluid ounce.</p><p></p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Oil Blend</p>
<ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul>
<p>Essential Oil (Scent) Blend</p>
<ul>

<li>none</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Oils,Beard Oils,"All Products,Beard Care,Beard Oil & Balm,Beard Oils,Scents,Tumbleweed,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,oil-tw-3oz,,Title,Default,,,,,29.99,,,,0.00,true,,shopify,0,deny,13,g,true,manual,/Shared/Images/Product/Tumbleweed-Beard-Oil-3oz-Bottle/beard-oil-tumbleweed-3oz.jpg,1,Tumbleweed Beard Oil - 3oz Bottle,,false,Tumbleweed Beard Oil - 3oz Bottle,All Natural Man Made Beard Oil with a subtle natural scent,,,,oil-tw-3oz,,,new,,,,,,
Clove Citrus Beard Oil - 3oz,clove-citrus-beard-oil-3oz,"<h3>Description</h3><p>Make your beard magestic! Texas Beard Company <strong style=""font-size: 1em;"">Beard Oil</strong> is a carefully hand-mixed blend of <strong style=""font-size: 1em;"">All Natural</strong> oils mixed with a subtle amount of essential oils to make your beard smell as good as it looks.</p><p>Extensive testing on bearded Texas men NOT animals (although they have been called worse) has resulted in the perfect blend of scents.</p><p>The Clove Citrus blend features classic Clove scent mixed with Orange, Tangerine, and Grapefruit essential oils.</p><p>So step up your facial hair game and turn that scraggle and scruff into something great.</p><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul><li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul><li>Clove</li><li>Orange</li><li>Tangerine</li><li>Grapefruit</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Oils,Beard Oils,"All Products,Beard Care,Beard Oil & Balm,Beard Oils,Scents,Clove Citrus,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,oil-cz-3oz,,Title,Default,,,,,29.99,,,,0.00,true,,shopify,0,deny,13,g,true,manual,/Shared/Images/Product/Clove-Citrus-Beard-Oil-3oz/beard-oil-clove-citrus-3oz.jpg,1,Clove Citrus Beard Oil - 3oz,,false,Clove Citrus Beard Oil - 3oz,All Natural Man Made Beard Oil with a subtle natural scent,,,,oil-cz-3oz,,,new,,,,,,
Big Thicket Beard Oil - 3oz,big-thicket-beard-oil-3oz,"<h3>Description</h3><p>

	This Big Thicket Beard Oil from Texas Beard Company will have your beard tamed and smelling like you just came home from a day of choppin wood.

</p>

<p>

	Big Thicket is scented with a subtle blend of Cedarwood and Pine Needle essential oils to smell just like the famous Texas forest.

</p>

<blockquote>

	Texas Beard Company's Big Thicket Beard Oil, with its Cedarwood & Pine Needles scent makes me feel like I'm back adventuring in the deep Texas woods.<br>

	<cite><em>Chris Brown / Publisher Refueled Magazine</em></cite>

</blockquote><hr><h3>Ingredients</h3><p>Texas Beard Company products are made with all natural ingredients.</p><p>Base Oil Blend</p><ul>

<li>Golden Jojoba Oil

</li><li>Sweet Almond Oil</li><li>Grapeseed Oil</li><li>Avocado Oil</li></ul><p>Essential Oil (Scent) Blend</p><ul>

<li>Cedarwood</li><li>Pine Needle</li></ul>",Texas Beard Company,All Products > Beard Care > Beard Oil & Balm > Beard Oils,Beard Oils,"All Products,Beard Care,Beard Oil & Balm,Beard Oils,Scents,Big Thicket,All Products,Beard Care,Beard Oil & Balm,Singles",true,active,oil-bt-3oz,,Title,Default,,,,,29.99,,,,0.00,true,,shopify,0,deny,13,g,true,manual,/Shared/Images/Product/Big-Thicket-Beard-Oil-3oz/beard-oil-big-thicket-3oz.jpg,1,Big Thicket Beard Oil - 3oz,,false,Big Thicket Beard Oil - 3oz,"

	This Big Thicket Beard Oil from Texas Beard Company will have your beard tamed and smelling like you just came home from a day of choppin wood.





	Big Thicket is scented with a subtle blend of Cedarwood and Pine Needle essential oils to smell just like the famous Texas forest.





	Texa",,,,oil-bt-3oz,,,new,,,,,,
