Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
pumpkin-spice-beard-balm,Pumpkin Spice Beard Balm,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p>Hey men, now you can finally enjoy the pumpkin spice scent without having to pour a latte on your beard! No yoga pants or Uggs required here.</p>
<p>Texas Beard Company Beard Balm is has similar properties and benefits to our all natural beard oils. It will help keep your hair healthy, strong, and manageable.</p>
<p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p>
<p>Unlike other balms on the market, our balm is not thick and hard like a wax. Our balm is whipped which gives it a smooth creamy consistency. This is much more labor intensive and time consuming, but it's worth it to have a better product.</p>
<p>Comes in a 2oz tin.</p>
<meta charset=""utf-8"">
<p>Base Balm Blend</p>
<ul>
<li>Cocoa Butter</li>
<li>Shea Butter</li>
<li>Coconut Oil</li>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<div class=""row"">
<div class=""col-sm-6 product-right-side"">
<div class=""tab-content"" itemprop=""description"">
<div class=""tab-pane pad-15 active"" id=""desc2"">
<ul></ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Cinnamon</li>
<li>Vanilla</li>
<li>Coffee Bean</li>
<li>Nutmeg</li>
</ul>
</div>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-12"">
<div id=""ctl27_dvControl"" class=""Control ProductReviewsListing Control_5028"">
<div class=""center reviews-title"" id=""reviews"">
<div class=""write-review""></div>
</div>
<div class=""product-review-area"">
<div class=""col-sm-6 product-review"" itemprop=""review"" itemscope="""" itemtype=""http://schema.org/Review"">
<div class=""ProductReviewItemMeta ProductReviewItemMeta_5028"">
<div class=""clearfix"">
<div class=""review-stars"">
<div id=""ctl27_rpReviews_ctl00_dvProductReviewRatings"" class=""ProductReviewRatings  ProductReviewRatings_5028""></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<ul></ul>",Texas Beard Company,,Beard Balm,"",false,Title,Default Title,,,,,,,,balm-pump,100.017117585,,-24,deny,manual,19.99,,true,true,'791154095751,https://cdn.shopify.com/s/files/1/2781/6484/products/pumpkin-spice-beard-balm.jpg?v=1552529143,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
pumpkin-spice-beard-oil,Pumpkin Spice Beard Oil,"<p> </p>
<p><strong>1 fl oz / 30 ml (3 month supply)</strong> </p>
<p> </p>
<p>Hey men, now you can finally enjoy the pumpkin spice scent without having to pour a latte on your beard! No yoga pants or Uggs required here.</p>
<p>This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.</p>
<p>Texas Beard Company products are made with all natural ingredients.</p>
<p> </p>
<div class=""row"">
<div class=""col-sm-6 product-right-side"">
<div class=""tab-content"" itemprop=""description"">
<div class=""tab-pane pad-15 active"" id=""desc2"">
<p>Base Oil Blend</p>
<ul>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Cinnamon</li>
<li>Vanilla</li>
<li>Coffee Bean</li>
<li>Nutmeg</li>
</ul>
</div>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-12"">
<div id=""ctl27_dvControl"" class=""Control ProductReviewsListing Control_5028"">
<div class=""center reviews-title"" id=""reviews"">
<div class=""write-review""><br></div>
</div>
<div class=""product-review-area"">
<div class=""col-sm-6 product-review"" itemprop=""review"" itemscope="""" itemtype=""http://schema.org/Review"">
<div class=""ProductReviewItemMeta ProductReviewItemMeta_5028"">
<div class=""clearfix"">
<div class=""review-stars"">
<div id=""ctl27_rpReviews_ctl00_dvProductReviewRatings"" class=""ProductReviewRatings  ProductReviewRatings_5028""></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<ul></ul>",Texas Beard Company,Uncategorized,Beard Oil,"1 oz, oil",true,Title,Default Title,,,,,,,,oil-pump,100.017117585,,-37,deny,manual,17.99,,true,true,'791154095744,https://cdn.shopify.com/s/files/1/2781/6484/products/pumpkin-spice-oil.jpg?v=1552529111,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
beard-balm-trial-size-4-pack,Beard Balm Trial Size 4-pack,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p>his 4-pack includes 1/2oz trial-size cans of Clove Citrus, Mint Eucalyptus, Big Thicket, and Night Cap balms.</p>
<p>Texas Beard Company Beard Balm is has similar properties and benefits to our<span> </span><a href=""/collections/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p>
<p>In addition to oils we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p>
<p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p>
<p>Ingredients:</p>
<meta charset=""utf-8"">
<div class=""row"">
<div class=""col-sm-6 product-right-side"">
<div class=""tab-content"" itemprop=""description"">
<div class=""tab-pane pad-15 active"" id=""desc2"">
<div class=""ac-content-edit-product"" id=""ac-edit-tabs-2"">
<p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Balm Blend</p>
<ul>
<li>Cocoa Butter</li>
<li>Shea Butter</li>
<li>Coconut Oil</li>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Clove Citrus
<ul>
<li>Clove Oil</li>
<li>Tangerine Oil</li>
<li>Grapefruit Oil</li>
<li>Orange Oil</li>
</ul>
</li>
<li>Mint Eucalyptus
<ul>
<li>Peppermint Oil</li>
<li>Eucalyptus Oil</li>
</ul>
</li>
<li>Big Thicket
<ul>
<li>Cedarwood Oil</li>
<li>Pine Needle Oil</li>
</ul>
</li>
<li>Tumbleweed
<ul>
<li>None.</li>
</ul>
</li>
</ul>
</div>
</div>
</div>
</div>
<div class=""col-sm-12""></div>
</div>",Texas Beard Company,,Beard Balm,"$20.00 - $29.99, big thicket, cedar, oil, pine",true,Title,Default Title,,,,,,,,balm-trial-4pk,136.077711,,-317,deny,manual,21.99,,true,true,'791154096079,https://cdn.shopify.com/s/files/1/2781/6484/products/beard-balm-trial-pack.jpg?v=1548470432,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
night-cap-beard-oil-3oz,Night Cap Beard Oil - 3oz,"<meta charset=""utf-8"">
<p>Night Cap is our overnight scent, made specifically for when you wind down and hit the hay. Created with soothing mixes of natural fragrances, Night Cap helps in capturing a good night sleep. Made with Lavender Oil, Lime Oil, and Bergamot Oil, Night Cap is a mellow scent that is perfect for your overnight beard conditioning.</p>
<p>Extensive testing on bearded Texas men NOT animals (although they have been called worse) has resulted in the perfect blend of scents.</p>
<p>So step up your facial hair game and turn that scraggle and scruff into something great.</p>
<p><strong>Ingredients</strong></p>
<p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Oil Blend</p>
<ul>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Lavender</li>
<li>Lime</li>
<li>Bergamot</li>
</ul>",Texas Beard Company,,Beard Oil,"$20.00 - $29.99, bergamot, black label, lavender, lime",true,Title,Default Title,,,,,,,,oil-night-3oz,299.008090304,,-4,deny,manual,29.99,,true,true,'791154095805,https://cdn.shopify.com/s/files/1/2781/6484/products/beard-oil-nightcap-3oz.jpg?v=1548470828,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
night-cap-beard-oil,Night Cap Beard Oil,"<meta charset=""utf-8"">
<p>Night Cap is our overnight scent, made specifically for when you wind down and hit the hay. Created with soothing mixes of natural fragrances, Night Cap helps in capturing a good night sleep. Made with Lavender Oil, Lime Oil, and Bergamot Oil, Night Cap is a mellow scent that is perfect for your overnight beard conditioning.</p>
<p>Extensive testing on<span> </span>bearded Texas men NOT animals (although they have been called worse) has resulted in the perfect blend of scents.</p>
<p>So step up your facial hair game and turn that scraggle and scruff into something great.</p>
<p>This is our original size, 1 fluid ounce. This is enough oil to last most beards 3-4 months with daily use.</p>
<p><strong>Ingredients</strong></p>
<meta charset=""utf-8"">
<p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Oil Blend</p>
<ul>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Lavender Oil</li>
<li>Lime Oil</li>
<li>Bergamot Oil</li>
</ul>
<p><strong> </strong></p>
<p> </p>",Texas Beard Company,,Beard Oil,"$10.00 - $15.99, bergamot, black label, lavender, lime",true,Title,Default Title,,,,,,,,oil-night-cap,100.017117585,,-9,deny,manual,15.99,,true,true,'791154095812,https://cdn.shopify.com/s/files/1/2781/6484/products/beard-oil-nightcap.jpg?v=1548470809,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
mustache-wax,Texas Beard Company Mustache Wax,"<meta charset=""utf-8"">
<p>Texas Beard Company handmade Mustache Wax provides a Medium hold for your beards best friend. Works great at holding a natural style mustache and keeping wild hairs out of your food hole.</p>
<p>Mustache wax helps hold, shape, style, condition, and volumize your mustache. All natural ingredients with no petroleum products.</p>
<p>This wax has no added fragrance or scent but has a light honey/sweet scent from the Beeswax and Pine Sap oil.</p>
<p>Available in a small 0.5oz tin or a larger 1oz tin.</p>",Texas Beard Company,,Wax,$10.00 - $15.99,true,Size,Small - 0.5oz,,,,,,,,stache-wax-1,29.48350405,,-320,deny,manual,8.99,,true,true,'791154095683,https://cdn.shopify.com/s/files/1/2781/6484/products/wax.jpg?v=1520188069,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
mustache-wax,,,,,,,,,Large - 1oz,,,,,,,,stache-wax-2,29.48350405,,-12,deny,manual,14.99,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
green-belt-beard-balm,Green Belt Beard Balm,"<meta charset=""utf-8"">
<p>With essences of Tea Tree, Lime, and Basil, this Green Belt Beard Balm with its wild/soothing/natural scent will make you think you're walking through the trails of Austin's Green Belt.</p>
<p>Texas Beard Company Beard Balm has similar properties and benefits to our<span> </span><a href=""https://www.texasbeardcompany.com/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p>
<p>In addition to oils, we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p>
<p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p>
<p>Comes in a 2oz tin.</p>
<p><strong>Ingredients</strong></p>
<meta charset=""utf-8"">
<p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Balm Blend</p>
<ul>
<li>Cocoa Butter</li>
<li>Shea Butter</li>
<li>Coconut Oil</li>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Tea Tree Oil</li>
<li>Lime Oil</li>
<li>Basil Oil</li>
</ul>",Texas Beard Company,,Beard Balm,"$16.00 - $19.99, black label, lime, mint",true,Title,Default Title,,,,,,,,balm-gb,94.982242278,,-21,deny,manual,19.99,,true,true,'791154095911,https://cdn.shopify.com/s/files/1/2781/6484/products/beard-balm-greenbelt.jpg?v=1548470676,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
night-cap-beard-balm,Night Cap Beard Balm,"<meta charset=""utf-8"">
<p>Night Cap is our overnight scent, made specifically for when you wind down and hit the hay. Created with soothing mixes of natural fragrances, Night Cap helps in capturing a good night sleep. Made with Lavender Oil, Lime Oil, and Bergamot Oil, Night Cap is a mellow scent that is perfect for your overnight beard conditioning.</p>
<p>Texas Beard Company Beard Balm has similar properties and benefits to our <a href=""https://www.texasbeardcompany.com/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p>
<p>In addition to oils, we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p>
<p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply.</p>
<p>Comes in a 2oz tin.</p>
<p><strong>Ingredients</strong></p>
<meta charset=""utf-8"">
<p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Balm Blend</p>
<ul>
<li>Cocoa Butter</li>
<li>Shea Butter</li>
<li>Coconut Oil</li>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Lavender Oil</li>
<li>Lime Oil</li>
<li>Bergamot Oil</li>
</ul>",Texas Beard Company,,Beard Balm,"$16.00 - $19.99, black label, lavender, lime",true,Title,Default Title,,,,,,,,balm-night-cap,0.0,,-169,deny,manual,19.99,,true,true,'791154095829,https://cdn.shopify.com/s/files/1/2781/6484/products/beard-balm-nightcap.jpg?v=1548470785,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
big-thicket-beard-balm,Big Thicket Beard Balm,"<meta charset=""utf-8"">
<p>Big Thicket is scented with a subtle blend of Cedarwood and Pine Needle essential oils to smell just like the famous Texas forest. It has been said to bring back memories of <a href=""http://ratemybeard.net/?p=5130"" target=""_blank"" rel=""noopener noreferrer"">childhood Christmas as well as Nordig ""gl̦gg""</a>.</p>
<p>Texas Beard Company Beard Balm has similar properties and benefits to our <a href=""https://www.texasbeardcompany.com/beard-oil"">all natural beard oils</a>. It will help keep your hair healthy, strong, and manageable.</p>
<p>In addition to oils, we blend in naturally deodorized Shea Butter, Cocoa Butter, and Coconut oil. We use naturally deodorized butters because you don't want your balm to smell like chocolate!</p>
<p>Unlike other balms on the market, ours has no wax. This means that our balm will not be as hard as others and also much easier to apply. </p>
<p>Comes in a 2oz tin.</p>
<p><strong>Ingredients</strong></p>
<meta charset=""utf-8"">
<p>Texas Beard Company products are made with all natural ingredients.</p>
<p>Base Balm Blend</p>
<ul>
<li>Cocoa Butter</li>
<li>Shea Butter</li>
<li>Coconut Oil</li>
<li>Golden Jojoba Oil</li>
<li>Sweet Almond Oil</li>
<li>Grapeseed Oil</li>
<li>Avocado Oil</li>
</ul>
<p>Essential Oil (Scent) Blend</p>
<ul>
<li>Cedarwood Oil</li>
<li>Pine Needle Oil</li>
</ul>
<p><strong> </strong></p>",Texas Beard Company,,Beard Balm,"$16.00 - $19.99, black label, cedar, pine",true,Title,Default Title,,,,,,,,balm-bt,94.982242278,,-154,deny,manual,19.99,,true,true,'791154096017,https://cdn.shopify.com/s/files/1/2781/6484/products/beard-balm-big-thicket.jpg?v=1548470553,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
